level	rank	word	coverage_perc	coverage_perc_str
Advanced	2692	少女	91.83358632231858	91.83%
Advanced	2705	家賃	91.86224661295516	91.86%
Advanced	2718	景品	91.89869118006092	91.9%
Advanced	2731	文句	91.96591902229488	91.97%
Advanced	2744	スーツケース	91.98785652870805	91.99%
Advanced	2757	箒	92.00094826640624	92.0%
Advanced	2770	素	92.01297851185865	92.01%
Advanced	2783	役割	92.0476539252214	92.05%
Advanced	2796	伺う	92.08869829205898	92.09%
Advanced	2809	おはよう	92.13080415114234	92.13%
Advanced	2822	海岸	92.14743419632651	92.15%
Advanced	2835	ラベル	92.16441807225932	92.16%
Advanced	2848	日常	92.1860017479239	92.19%
Advanced	2861	停車	92.21006223882868	92.21%
Advanced	2874	芥川	92.24402999069424	92.24%
Advanced	2887	ゴンザ	92.2907356495094	92.29%
Advanced	2900	淹れる	92.3038273872076	92.3%
Advanced	2913	椀	92.3190421093974	92.32%
Advanced	2926	わあ	92.33461066233578	92.33%
Advanced	2939	腐る	92.35300986126296	92.35%
Advanced	2952	書類	92.37565502917334	92.38%
Advanced	2965	鎖国	92.41209959627912	92.41%
Advanced	2978	下女	92.45738993209987	92.46%
Advanced	2991	時差	92.50444942166364	92.5%
Advanced	3004	パー	92.51294135963005	92.51%
Advanced	3017	天	92.53275588155162	92.53%
Advanced	3030	載せる	92.5416016502666	92.54%
Advanced	3043	ちっちゃい	92.5631853259312	92.56%
Advanced	3056	図	92.59644541629956	92.6%
Advanced	3069	身内	92.63430530639972	92.63%
Advanced	3082	小使	92.68207245746069	92.68%
Advanced	3095	生卵	92.73727005424223	92.74%
Advanced	3108	あったかい	92.74470049996285	92.74%
Advanced	3121	揺れる	92.75814606840964	92.76%
Advanced	3134	バレる	92.77017631386204	92.77%
Advanced	3147	重	92.79352914326961	92.79%
Advanced	3160	ネタ	92.8182972956716	92.82%
Advanced	3173	ミス	92.84943440154836	92.85%
Advanced	3186	西暦	92.87844852293354	92.88%
Advanced	3199	宿屋	92.9269233354917	92.93%
Advanced	3212	キリン	92.98636690125646	92.99%
Advanced	3225	家具	92.99308968547983	92.99%
Advanced	3238	焼肉	93.00688908467524	93.01%
Advanced	3251	虹	93.01325803815004	93.01%
Advanced	3264	灰	93.0366108675576	93.04%
Advanced	3277	礼儀	93.0723477731662	93.07%
Advanced	3290	占い師	93.08933164909897	93.09%
Advanced	3303	梅雨入り	93.11020766326637	93.11%
Advanced	3316	不満	93.14169859989173	93.14%
Advanced	3329	贔屓	93.1788508284947	93.18%
Advanced	3342	インドネシア	93.20538813463968	93.21%
Advanced	3355	ジジ	93.21246474961168	93.21%
Advanced	3368	チョコパイ	93.22131051832666	93.22%
Advanced	3381	ボウル	93.23263310228185	93.23%
Advanced	3394	祖父母	93.24749399372304	93.25%
Advanced	3407	半年	93.27226214612502	93.27%
Advanced	3420	縄	93.2878306990634	93.29%
Advanced	3433	ポンチキ	93.3097682054766	93.31%
Advanced	3446	残業	93.33099805039258	93.33%
Advanced	3459	協調	93.36921177124134	93.37%
Advanced	3472	指示	93.40601016909572	93.41%
Advanced	3485	エッフェル	93.45731562764269	93.46%
Advanced	3498	あったまる	93.46403841186608	93.46%
Advanced	3511	塩味	93.47111502683806	93.47%
Advanced	3524	リモコン	93.48279144154186	93.48%
Advanced	3537	シャンクス	93.49517551774284	93.5%
Advanced	3550	軍	93.51286705517285	93.51%
Advanced	3563	バーベキュー	93.533035407843	93.53%
Advanced	3576	縁側	93.5581573909936	93.56%
Advanced	3589	く	93.57018763644598	93.57%
Advanced	3602	こだわり	93.59141748136196	93.59%
Advanced	3615	未だ	93.62361607948453	93.62%
Advanced	3628	活用	93.66182980033332	93.66%
Advanced	3641	しいたけ	93.70358182866808	93.7%
Advanced	3654	右下	93.71242759738307	93.71%
Advanced	3667	尖る	93.72799615032146	93.73%
Advanced	3680	オープン	93.73436510379624	93.73%
Advanced	3693	だめ	93.74710301074583	93.75%
Advanced	3706	ちょうだい	93.75913325619824	93.76%
Advanced	3719	ふ	93.7789477781198	93.78%
Advanced	3732	シェフ	93.78602439309181	93.79%
Advanced	3745	ビー	93.8001776230358	93.8%
Advanced	3758	途端	93.81645383747139	93.82%
Advanced	3771	自覚	93.83768368238736	93.84%
Advanced	3784	大人しい	93.86103651179496	93.86%
Advanced	3797	要素	93.88580466419691	93.89%
Advanced	3810	区分	93.91021898585032	93.91%
Advanced	3823	ワーホリ	93.96258593664307	93.96%
Advanced	3836	曇り	94.01707587192743	94.02%
Advanced	3849	レモネード	94.02202950240782	94.02%
Advanced	3862	鰹節	94.03087527112281	94.03%
Advanced	3875	生麦	94.03512124010601	94.04%
Advanced	3888	カセット	94.04325934732381	94.04%
Advanced	3901	傷	94.0535204390332	94.05%
Advanced	3914	官	94.06307386924539	94.06%
Advanced	3927	失くす	94.07935008368096	94.08%
Advanced	3940	猪	94.08536520640716	94.09%
Advanced	3953	マッシュル	94.10305674383716	94.1%
Advanced	3966	わたし	94.12322509650733	94.12%
Advanced	3979	衣	94.13843981869712	94.14%
Advanced	3992	維持	94.1564851868757	94.16%
