video	level	wpm	sps	mean_sentence_length	average_rel_reps	ne_spot	tfp_log_ranks_unique	adv_props	det_props	noun_props	sconj_props	wa_props	gai_props	kan_props	aux_props	num_props	pron_props	verb_props
483	Advanced	149.81352287745256	4.882386587018729	18.035714285714285	0.0008912655971479	9660	5.980148385765344	0.0352594181525673	0.0085802386378871	0.2224158734414801	0.0718594985923046	0.8472723626153229	0.0074207781789009	0.1293622141997593	0.1587344148009116	0.0087143048666041	0.0252044509987934	0.1485453814184207
484	Complete Beginner	70.17956999362744	2.4560135670623677	6.777070063694268	0.0066225165562913	4523	4.292993011446259	0.0360465116279069	0.0011627906976744	0.1790697674418604	0.0255813953488372	0.8461538461538461	0.0685096153846153	0.0625	0.1941860465116279	0.0441860465116279	0.0604651162790697	0.0720930232558139
485	Intermediate	111.17289060874062	3.300022543617118	14.462686567164178	0.0050251256281407	9285	4.53115214657439	0.0134146341463414	0.0207317073170731	0.2963414634146341	0.0304878048780487	0.7864583333333334	0.0338541666666666	0.14453125	0.1329268292682927	0.0695121951219512	0.023170731707317	0.0890243902439024
486	Complete Beginner	82.64359442868407	2.793165859173791	10.657142857142857	0.0120481927710843	1974	3.40064151723581	0.0123839009287925	0.0185758513931888	0.3219814241486068	0.0278637770897832	0.922360248447205	0.0124223602484472	0.0559006211180124	0.1578947368421052	0.0061919504643962	0.0216718266253869	0.1393188854489164
487	Complete Beginner	83.01098436251291	2.649022434015096	8.663934426229508	0.0053475935828877	2653	4.502763888673348	0.0258426966292134	0.0089887640449438	0.3067415730337078	0.0157303370786516	0.8748538011695907	0.0222222222222222	0.0935672514619883	0.2022471910112359	0.048314606741573	0.0314606741573033	0.0876404494382022
488	Beginner	107.09142800700758	3.4982333380120796	12.233766233766234	0.0052356020942408	5288	4.366143908685304	0.0412621359223301	0.0084951456310679	0.2427184466019417	0.0570388349514563	0.8608058608058609	0.0061050061050061	0.1318681318681318	0.1856796116504854	0.0072815533980582	0.0351941747572815	0.1262135922330097
489	Beginner	80.61304973625153	2.5674014591270784	11.30952380952381	0.0044052863436123	3568	4.672828834461906	0.035953177257525	0.0041806020066889	0.2307692307692307	0.0367892976588628	0.875	0.0163793103448275	0.0810344827586206	0.1923076923076923	0.035953177257525	0.0292642140468227	0.1195652173913043
490	Beginner	81.3936248470025	2.9154929555852536	10.402985074626866	0.0052631578947368	8825	4.6443908991413725	0.0229508196721311	0.0114754098360655	0.2819672131147541	0.0508196721311475	0.8003246753246753	0.1103896103896103	0.0551948051948051	0.1639344262295081	0.0049180327868852	0.0196721311475409	0.1032786885245901
491	Intermediate	111.6908117246298	3.530456692445195	15.414634146341465	0.0066225165562913	6210	4.110873864173311	0.043557168784029	0.014519056261343	0.2323049001814882	0.0635208711433756	0.8638838475499092	0.0018148820326678	0.1143375680580762	0.1560798548094374	0.0054446460980036	0.0254083484573502	0.1542649727767695
492	Advanced	147.33018106331448	4.8956291085226615	14.125	0.0022573363431151	4659	5.099866427824199	0.050887573964497	0.0149901380670611	0.1747534516765286	0.0792899408284023	0.8397614314115308	0.0274353876739562	0.0958250497017892	0.1980276134122288	0.0074950690335305	0.0252465483234714	0.1167652859960552
493	Intermediate	126.40295303977246	4.097286405392188	22.793478260869566	0.0029411764705882	9295	4.844187086458591	0.0381471389645776	0.0234332425068119	0.2005449591280654	0.0817438692098092	0.8185840707964602	0.0331858407079646	0.118362831858407	0.1536784741144414	0.0054495912806539	0.0234332425068119	0.1209809264305177
494	Intermediate	130.09830550341448	4.286895957358249	20.43548387096774	0.0040160642570281	7931	4.757144708445917	0.0247349823321554	0.0088339222614841	0.2703180212014134	0.0547703180212014	0.7790492957746479	0.0308098591549295	0.1584507042253521	0.1360424028268551	0.0114840989399293	0.0229681978798586	0.1369257950530035
495	Intermediate	131.5179799666355	4.244397771685592	27.135135135135137	0.0034602076124567	5049	4.6370733035663445	0.0347624565469293	0.0231749710312862	0.1964078794901506	0.0840092699884125	0.8612244897959184	0.0413994169096209	0.0810495626822157	0.1448435689455388	0.007531865585168	0.0173812282734646	0.1593279258400927
496	Advanced	173.59898396570884	5.590834523998518	17.583629893238435	0.0017391304347826	5021	5.363634090365638	0.0624567872781746	0.0112929246370131	0.163401705462088	0.0921871398939847	0.8588785046728972	0.0301401869158878	0.0953271028037383	0.1714680802028117	0.0048398248444342	0.0327264346623646	0.1364369670430975
497	Complete Beginner	93.15207553093006	3.0757299479766407	9.278481012658228	0.0073529411764705	6041	4.0942056540395155	0.0236220472440944	0.0047244094488188	0.1732283464566929	0.026771653543307	0.7638436482084691	0.0358306188925081	0.1009771986970684	0.2015748031496063	0.0299212598425196	0.0440944881889763	0.1259842519685039
498	Intermediate	135.58791188385092	4.187545033691722	16.11764705882353	0.0042735042735042	6260	4.620022634688354	0.0224719101123595	0.0061287027579162	0.2134831460674157	0.0806945863125638	0.9032258064516128	0.0031217481789802	0.0770031217481789	0.1603677221654749	0.0112359550561797	0.0245148110316649	0.1521961184882533
499	Beginner	103.19759669558232	3.278312915161676	15.2	0.005813953488372	2378	4.406719247264253	0.0322147651006711	0.0067114093959731	0.2536912751677852	0.0563758389261744	0.7963483146067416	0.0449438202247191	0.1516853932584269	0.1704697986577181	0.0375838926174496	0.0241610738255033	0.1288590604026845
500	Complete Beginner	93.51107064355745	2.7355047609354757	10.365384615384617	0.0099009900990099	4277	3.367295829986474	0.0161662817551963	0.0184757505773672	0.2586605080831409	0.0577367205542725	0.9137529137529138	0.0023310023310023	0.0675990675990676	0.1732101616628175	0.0115473441108545	0.0115473441108545	0.1547344110854503
501	Advanced	145.04778593641117	4.700408735957096	18.466809421841543	0.0008319467554076	10831	6.0799253163074365	0.0312541385246987	0.0058270427757912	0.2132167924778175	0.0866110448947159	0.8733371891266628	0.0040485829959514	0.1079236552920763	0.1540193351873924	0.0094027281154813	0.0238379022646007	0.1635544960932327
502	Complete Beginner	77.0113353882569	2.5103518337691515	9.623188405797102	0.0068965517241379	3212	4.215803933729822	0.0212014134275618	0.0017667844522968	0.2756183745583039	0.0406360424028268	0.8714285714285714	0.0428571428571428	0.0714285714285714	0.1713780918727915	0.0247349823321554	0.0265017667844522	0.0936395759717314
503	Beginner	96.6006243883581	3.2578821998835963	11.988372093023257	0.0052631578947368	5617	4.397516677820393	0.0449438202247191	0.0078651685393258	0.249438202247191	0.0584269662921348	0.7882882882882883	0.045045045045045	0.1542792792792792	0.2101123595505618	0.0112359550561797	0.0258426966292134	0.1337078651685393
504	Beginner	91.74906917421072	3.1482523736248775	12.238095238095235	0.0059880239520958	3844	4.282925746197154	0.0283224400871459	0.0043572984749455	0.2265795206971677	0.0501089324618736	0.8347826086956521	0.0282608695652173	0.0869565217391304	0.1721132897603486	0.0043572984749455	0.0457516339869281	0.1328976034858388
505	Intermediate	113.180169286578	3.839177750906892	11.171875	0.0055865921787709	7986	4.418840607796598	0.0176282051282051	0.0272435897435897	0.2900641025641026	0.0560897435897435	0.8	0.0439024390243902	0.1398373983739837	0.1490384615384615	0.0144230769230769	0.0192307692307692	0.1217948717948717
506	Beginner	83.05043218538566	3.1138975643450593	12.388059701492535	0.0052910052910052	10427	4.663439094112067	0.042796005706134	0.0156918687589158	0.2567760342368045	0.0385164051355206	0.6840579710144927	0.0652173913043478	0.1695652173913043	0.1569186875891583	0.0085592011412268	0.0299572039942938	0.0841654778887303
507	Complete Beginner	84.71059642781954	2.8200571304376942	8.241379310344827	0.0089285714285714	6649	3.66253932519948	0.0231958762886597	0.0051546391752577	0.2139175257731958	0.0644329896907216	0.8808290155440415	0.0129533678756476	0.0906735751295336	0.2139175257731958	0.0051546391752577	0.0103092783505154	0.1804123711340206
508	Complete Beginner	81.81436867358799	2.6071512150650036	7.481927710843373	0.0096153846153846	6650	3.5623907807310875	0.0643863179074446	0.0060362173038229	0.1830985915492957	0.0402414486921529	0.979757085020243	0.0	0.0182186234817813	0.2313883299798792	0.0201207243460764	0.0120724346076458	0.1790744466800805
509	Advanced	158.90058820281814	5.403162057432571	22.04225352112676	0.0032258064516129	7276	4.68213122712422	0.034407027818448	0.0117130307467057	0.2379209370424597	0.0834553440702781	0.7719167904903418	0.0401188707280832	0.1790490341753343	0.171303074670571	0.0146412884333821	0.0329428989751098	0.1376281112737921
510	Advanced	147.40704590837953	5.030152459683439	23.740112994350284	0.0016366612111292	7843	5.527389200702634	0.037027099543869	0.0091226187281996	0.2366514623021196	0.0684196404614971	0.7894736842105263	0.0196025778732545	0.1713211600429645	0.1497182720686879	0.0120740541990877	0.0185135497719345	0.1322779715588945
511	Beginner	76.39157986542865	2.563050825327863	10.0	0.008130081300813	6853	4.292993011446259	0.0183246073298429	0.0052356020942408	0.2486910994764398	0.06282722513089	0.8136482939632546	0.0052493438320209	0.1548556430446194	0.193717277486911	0.0026178010471204	0.013089005235602	0.2120418848167539
512	Intermediate	135.811456187524	4.65195021663347	20.726315789473684	0.0029498525073746	5849	4.966328964917954	0.0248027057497181	0.0135287485907553	0.2418263810597519	0.0879368658399098	0.7881165919282511	0.0437219730941704	0.1367713004484305	0.1302142051860202	0.0067643742953776	0.0208568207440811	0.1341600901916572
513	Intermediate	137.00291120484522	4.489587664013366	17.256944444444443	0.0024691358024691	6896	4.987019604243536	0.0342651036970243	0.0144274120829576	0.2376014427412082	0.0856627592425608	0.8463281958295558	0.0172257479601087	0.1097008159564823	0.1248872858431019	0.0058611361587015	0.0225428313796212	0.1411181244364292
514	Intermediate	136.45971512392614	4.405670536360486	13.344827586206897	0.0035335689045936	9311	4.718498871295094	0.0355555555555555	0.0081481481481481	0.2725925925925926	0.0562962962962962	0.8387334315169367	0.0294550810014727	0.1215022091310751	0.1674074074074074	0.0059259259259259	0.0459259259259259	0.1051851851851851
515	Beginner	99.10715343807357	3.1628516851095827	10.5	0.0066666666666666	7405	4.174387269895637	0.0407331975560081	0.0020366598778004	0.2118126272912423	0.075356415478615	0.8709016393442623	0.0163934426229508	0.1045081967213114	0.1995926680244399	0.0020366598778004	0.0264765784114052	0.1670061099796334
516	Complete Beginner	72.22815030339615	2.5180989598527	9.97872340425532	0.0119047619047619	1573	3.5032671945834077	0.0169082125603864	0.0072463768115942	0.28743961352657	0.0169082125603864	0.7425968109339408	0.0318906605922551	0.1867881548974943	0.1280193236714976	0.0144927536231884	0.0603864734299516	0.0845410628019323
517	Advanced	150.77582346380916	4.861442944415664	16.30857142857143	0.0008873114463176	9740	6.028275617043288	0.033706350276392	0.0052581906431171	0.2223270864230821	0.0781987326412296	0.8684471912592429	0.0088290475664937	0.1052863922304381	0.1724416880140218	0.0035054604287447	0.0270999056222192	0.1488472428205474
518	Beginner	102.56217928996828	3.5564330678224523	7.13375796178344	0.0039370078740157	10433	4.5217885770490405	0.0606767794632438	0.0093348891481913	0.2730455075845974	0.0630105017502917	0.8983644859813084	0.0327102803738317	0.0595794392523364	0.1365227537922987	0.0070011668611435	0.0350058343057176	0.1376896149358226
519	Complete Beginner	47.95590261828204	1.7700199050681364	5.3	0.0099999999999999	10121	4.564348191467836	0.0311284046692607	0.0	0.2996108949416342	0.0116731517509727	0.9087301587301588	0.0476190476190476	0.0357142857142857	0.2801556420233463	0.0194552529182879	0.0077821011673151	0.1284046692607003
520	Beginner	104.49950809956124	3.6013954768775345	11.014925373134329	0.0053763440860215	2317	4.706379293621048	0.0308166409861325	0.0061633281972265	0.2619414483821263	0.0462249614791987	0.8115264797507789	0.0498442367601246	0.1214953271028037	0.1926040061633282	0.012326656394453	0.0200308166409861	0.1201848998459167
